uuid,username,password,score,team_uuid,team_role
71eb9d80-4175-4ecf-8cad-5d6962b536be,stability,,63123,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
26d96e80-f519-448f-aff7-0e35ab547bb1,infantile,,8059,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
9c50001b-9348-4039-9a53-c22dff548eec,cue,,36363,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
b6a51460-514d-4453-b4b1-6b0cb2b55b6f,mash,,94098,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
659d6b16-79b7-4b8e-bbe4-7d402c2790a6,rafter,,75583,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
b2ed8441-af44-4135-936c-9c87e936f884,uncommon,,29980,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
9b5720ff-8435-4e24-b11d-1c9c9a008c2b,rank,,73547,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
992adfcb-b274-4d52-bd14-66ee6af4fefe,character,,21266,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
8df6911f-7ece-4af9-9406-87e0b8f99554,gurgle,,91208,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
22f459e9-727d-4538-853b-d461adfaa302,riptide,,14707,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
47467418-c9c7-4b67-aa73-de3d056638cf,preach,,23867,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
c2aa0c70-37a1-495d-b053-0cdd4e140041,shameless,,25426,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
c004ea13-a555-479d-ba2a-ce1e77579e1b,cisco,,11034,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
69a97f26-8943-4dc3-a7bb-5d2fd1a741b1,glorious,,30333,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
d2c2cc98-fbe7-4eda-9c64-a40ca6effa0d,restore,,69263,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
95b09e43-beac-47fc-97e3-e1fb8c57749e,porsche,,57264,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
f0938136-fd68-45b2-b783-fd1badc35bb8,closer,,99745,,NULL
8b41fbfc-0971-4b9b-b41f-201a742e9466,awareness,,60943,,NULL
34e48af2-56f8-42db-b98a-ead2198896d5,official,,21338,,NULL
eb083358-07b4-4b7c-a303-cc461ce724dc,whirr,,52697,,NULL
b9782b2e-28c4-467b-b517-52480f5cf48d,advanced,,73083,,NULL
04c60fb9-06da-4181-93b3-0d1faf9d7ba8,affect,,24762,,NULL
